CountryEnglish,ISO3v10,ContinentName,Continent,CountryCode,CountryCodeLong,UNRegion,ISO2,UNSDCode,Resolution,PopulationPerUnit,Area,LevelUsed,Level1Type,Level2Type,Level3Type,Level4Type,Level5Type,NumUnits,RefYearFirst,RefYearLast,P90E ('000),P95E ('000),P00E  ('000),UN_P90 ('000),UN_P95 ('000),UN_P00 ('000),Diff90,Diff00,Source Data: Boundaries,Source Data: Population,Edits and Notes: Spatial,Edits and Notes: Population,Num Settlement Points,Largest Point (pop),Smallest Point (pop),Mean Point (pop),Urban Criteria (UN),Num Urban Extents,Largest Extent (sq.km),Smallest Extent (sq.km),Mean Extent (sq.km),Sum-All Urban Extents (sq.km),Largest Extent (pop),Smallest Extent (pop),Mean Extent (pop),Sum-All Urban Extents (pop),Pct Total Land Area in Urban Extents (sq.km),"Pct Total Population in Urban Extents (2000,NSO est.)","Pct Total Population that is urban (2000,UN)",Num UE's from Nighttime Lights ,Num UE's from Regressions,Num UE's from DCW ,Num UE's from other sources,Settlement Point Population Source,Settlement Point Coordinate Source
Netherlands,NLD,Europe,5,530,53005,Western Europe,NL,528,9,67,"41,364",2,Province,Municipality,,,,469,1990,2000,"28,964","30,132","31,394","14,952","15,459","15,864",-93.72,-97.89,Seamless Administrative Boundaries of Europe (SABE) distributed by Eurographics: http://www.eurogeographics.org/eng/03_projects_sabe.asps (SABE 2001 date of release : February 2003).,"1990, 1995 and 2000 municipal data downloaded from Statistics Netherlands, StatLine Databank: http://www.cbs.nl/statline .",,"Boundary changes from 1990 to 2000 were accomodated in the following attribution of population:
- In Utrecht:
* De Bilt and Maartensdijk are merged and assigned a single total population value.
* Harmelen and Woerden are merged and assigned a single total population value.
* Utrecht and Vleuten_De Meern are merged and assigned a single total population value.
- In North-Holland:
* Bergen, Egmond, and Schoorl are merged and assigned a single total population value.
* Waterland, Broek in Waterland, Monnickendam, Katwoude, Marken, Ilpendam, Landsmeer, and Purmerend are merged and assigned a single total population value.
* In South Holland, Liemeer and Zevenhoven assigned a single total population value.
- In Limburg:
* Born, Sittard and Geleen are merged and assigned a single total population value.
* Belfeld, Tegelen, Venlo, Broekhuizen, Grubbenvorst, and Horst are merged and assigned a single total population value.
* Heythuysen, Baexem, Grathem, Hunsel are merged and assigned a single total population value.
- In Overijssel:
*  Brederwiede, Zwartsluis, Genemuiden, Hasselt, Ijsselham, Steenwijk, Ijsselmuiden, Kampen, Zwolle, Dalfsen, Nieuwleusen, and Staphorst are merged and assigned a single total population value.
* Den Ham and Vriezenveen are merged and assigned a single total population value.
* Denekamp, Ootmarsum, Weerselo, Diepenheim, Goor, Markelo, Stad Delden, Holten, Rijssen, Hengelo, Oldenzaal, Ambt Delden, Almelo, and  Borne are merged and assigned a single total population value.
* Heino and Raalte are merged and assigned a single total population value.
* Wijhe and Olst are merged and assigned a single total population value.
- In Gelderland:
* Elst, Heteren, and Valburg are merged and assigned a single total population value.
* Gendt, Huissen, and Bemmel are merged and assigned a single total population value.
* Zaltbommel, Brakel, Kerkwijk, Maasdriel, Hedel, Ammerzoden, Heerewaarden, and Rossum are merged and assigned a single total population value.
* Buren, Lienden and Maurik are merged and assigned a single total population value.
- In the provinces of Drenthe and Overijssel, the municipalities Westerveld, De Wolden, Vledder, Diever, Dwingeloo, Havelte, Meppel, De Wijk, Ruinen, Ruinerwold, Zuidwolde, Avereest, Hardenberg, Gramsbergen, Hoogeveen, Midden-Drenthe, Coevorden, Dalen, Oosterhesselen, Sleen, Zweelo, Emmen, Odoorn. Borger-Odoorn, Borger, Westerbork, and Schoonebeek are merged and assigned a single total population value.
- In North-Brabant:
* Cuijk, Sint Anthonis, Beers, Cuijk en Sint Agatha, Haps, Grave, Mill en Sint Hubert, Oploo c.a., Wanroij, and Boxmeer are merged and assigned a single total population value.
* Heusden, Drunen, Vlijmen, 's-Hertogenbosch, Rosmalen, Maasdonk, Haaren, Esch, Helvoirt,  Sint-Michielsgestel, Berlicum, Deb Dungen are merged and assigned a single total population value.
* Geertruidenberg and Raamsdonk are merged and assigned a single total population value.
* Bernheze, Nistelrode, and Heeswijk-Dinther are merged and assigned a single total population value.
* Moerdijk, Zevenbergen, Fijnaart en Heijningen, Klundert, Standdaarbuiten, Willemstad are merged and assigned a single total population value.
* Woensdrecht, Huijbergen, Ossendrecht, Putte are merged and assigned a single total population value.
- In Zeeland, the municipalities of Veere, Domburg, Mariekerke, Valkenisse, Westkapelle are merged and assigned a single total population value.
- In the provinces of Drenthe and Groningen, the municipalities of Tynaarlo, Vries, Eelde, Assen, Roden, Noordenveld, Norg, Peize, Groningen, Leek are merged and assigned a single total population value.",229,"731,288","19,230","54,488.61","Municipalities with 2,000 inhabi_tants or more; municipalities with a population of fewer than 2,000 persons but with not more than 20 per cent of their economically active male popula_tion engaged in agriculture; and specific residential municipalities of commuters.",67,"5,055",2,185.04,"12,398","6,651,667","6,751","199,697.09","13,379,705",29.97,42.62,89.60,62,4,1,0,"City Population, www.citypopulation.de",NIMA; World Gazetteer
Norway,NOR,Europe,5,584,58405,Northern Europe,NO,578,27,10,"318,524",2,Fylke,Kommune,,,,434,1993,2001,"4,236","4,344","4,461","4,241","4,359","4,469",0.11,0.17,Seamless Administrative Boundaries of Europe (SABE) distributed by Eurographics: http://www.eurogeographics.org/eng/03_projects_sabe.asps (SABE 2001 date of release : February 2003).,"2001 Kommune Housing and Population data downloaded from Statistics Norway, http://www.ssb.no/fobhushold_en/tab-2002-09-02-03-en.html .   
1993 Kommune population figures downloaded from UNEP GEO data portal.",Boundary clipped with DCW to DCW shoreline boundaries.,,304,"766,517","1,017","10,313.83",Localities with 200 inhabitants or more.,56,"5,062",10,346.64,"19,412","1,508,335","5,067","55,308.91","3,097,299",6.09,69.43,75.00,56,0,0,0,"City Population, www.citypopulation.de; StatsNorway, www.ssb.no; World Gazetteer, www.gazetteer.de",Columbia Gazetteer; Getty; Times Atlas of the World 1999; NIMA; Times Atlas of the World 1999; World Gazetteer
Portugal,PRT,Europe,5,624,62405,Southern Europe,PT,620,5,2,"91,421",3,Continente,Distrito,Freguesia,,,4242,1981,2001,"10,382","10,495","10,326","9,899","9,916","10,016",-4.88,-3.09,Seamless Administrative Boundaries of Europe (SABE) distributed by Eurographics: http://www.eurogeographics.org/eng/03_projects_sabe.asps (SABE 2001 date of release : February 2003).,"""Censos 2001"": Recenseamento da General da População; Instituto Nacional de Estatistica, Portugal.  
1981 and 1991 population census figures from the Instituto Nacional de Estatistica, Portugal, http://www.ine.pt/ .",Coastline matched to DCW,"Recent boundary divisions were accomodated in the following attribution of population: (1)  Agualva, Cachem, Mira-Sinta, and S. Marcos merged into Agualva-Cachem; (2) Caxias merged into Paco de Arcos;  (3) Aguas Vivas merged into Palacoulo; (4) Santa Cruz/Trindade merged into Outero Seco; (5) Gandaras merged into Lousa; (6) Meia Via merged into Torres Novas (Santiago); (7) Ilhues (Porto Santo) merged into Porto Santo; (8) Porto Martins merged into Cabo de Praia; (9) Longueira/Almograve merged into Odemeira (S. Salvador); (10) Boavista dos Pinheiros merged into Odemeira (S. Maria).
The 1990 and 1995 population estimates are based on 1981 and 1991 population census figures.  A population growth rate was calculated between 1990 and 2001 to extrapolate to target years.",460,"573,830","3,455","14,887.23","Agglomerations of 10,000 inhabi_tants or more.",83,"2,511",7,154.44,"12,818","2,379,443","5,100","88,341.27","7,332,325",14.02,71.01,65.80,78,5,0,0,"City Population, www.citypopulation.de; World Gazetteer, www.gazetteer.de",Getty; Times Atlas of the World 1999; NIMA; University of Texas Map Collection; World Gazetteer
Romania,ROU,Europe,5,648,64805,Eastern Europe,RO,642,9,7,"237,057",3,Judetul,Municipul,Commune,,,2935,1992,2002,"22,884","22,317","21,768","23,207","22,681","22,438",1.39,2.99,"Second Administrative Level Boundaries (SALB), United Nations, http://www3.who.int/whosis/gis/salb/salb_home.htm .","1992 Municipul and 2002 Commune/Municipul population data from Recensamant 2002 (Census 2002), Institutul Nacional de Statistica, Romania:  http://www.recensamant.ro/",,"Mismatch problems between the population data and the boundary data led the following Communes (administrative level 3 units) to be dropped from the population data because we have no boundaries nor information about their location: Ciugud (in Alba);  Cosesti and Mioveni (in Arges); Buchin (in Caras-Severin); Costinesti and Ghindaresti (in Constanta); Vale Mare (in Covasna); Rovinari (in Gorj); Gen. Berthelot (in Hunedoara); Poienelei Izei (in Maramures); Cornu (in Prahova); Treznea (in Salaj); and Silistea (in Teleorman).  The total population of these units are 77, 162, about 0.35% of the total population of Romania in 2002.  
There are also Communes were population data is not available, and were therefore assigned a population of zero (0): Sintea Mare (in Arad); Colibasi (in Arges); Sinteu (in Bihor); Sintereag (in Bistrita Nasaud); Cernele (in Dolj); Unirea (in Hunedoara); and Goranu (in Valcea).
The Municipul  growth rates between census years 1992 and 2002 applied to 2002 Commune population to project to target years.  
",865,"1,950,063",0,"18,163.69","Cities, towns and 183 other locali_ties having certain urban socio-economic character_istics.",237,775,10,60.98,"14,452","2,197,247","5,000","45,731.01","10,838,249",6.10,49.79,55.20,149,88,0,0,"Romania 2002 Census, http://www.recensamant.ro/; World Gazetteer, www.gazetteer.de",World Gazetteer
Russia,RUS,Europe,5,650,65005,Eastern Europe,RU,643,82,58,"16,679,998",3,Region,Oblast,Raion,,,2486,,1989,"148,839","148,058","145,410","148,292","148,141","145,491",-0.37,0.06,UNEP/GRID Arendal (produced by Denis Eckert and Hy Dao),"The 1990 and 1995 estimates are based on a 1989 population from: UNEP/GRID Arendal (produced by Denis Eckert and Hy Dao) and population estimates by Oblast from: Rossiysky Statistichesky Bulletin, Moscow, Roscomstat, June 1996.",,The population estimates for the target years were calculated using United Nations population growth rates and 1995 popualtion estimate. ,704,"9,886,286","9,700","130,978.10","Cities and urban-type localities, of_ficially designated as such, usually according to criteria based on the number of inhabitants and the predominance of non-agricultural workers and their families.",523,"4,768",3,356.55,"186,473","12,205,600","6,115","186,857.72","97,726,585",1.12,67.21,72.90,494,15,14,0,"City Population, www.citypopulation.de; Russia In Figures, 2001, Census Bureau, Statistical Factbook; World Gazetteer, www.gazetteer.de",Getty; GRID Arendal; Times Atlas of the World 1999; Meteo; NIMA; World Gazetteer
Serbia and Montenegro,SCG,Europe,5,925,92505,Southern Europe,YU,891,159,"2,658","101,561",1,Province,Municipality,Settlement,,,4,1988,2001,"10,448","10,549","10,633","10,156","10,547","10,552",-2.87,-0.77,"Some internal boundaries for Yugoslavia were not available from Digital Chart of the World. Boundaries with TFR Macedonia, Bosnia-Herzogovina and Croatia were therefore taken from the ESRI online data set of administrative units, as were the internal boundaries between Montenegro and Serbia. The boundaries between both Kosovo and Vojvodina with Serbia are from the Eurostat NUTS3 database (GRID-Geneva). Matched SW corner border with TFR Macedonia. ","2003 Statistical Pocketbook. Serbia and Montenegro Statistical Office, http://www.szs.sv.gov.yu/english.htm",,A population growth rate was calculated between 1988 and 1998 to estimate 1990 and 1995 population. A population growth rate was calculated between  1998 and 2001 used to estimate populations for 2000.,66,"1,121,930","9,735","64,156.14",Not available.,58,"1,164",29,130.26,"7,555","1,263,382","10,136","94,487.36","5,480,267",7.44,51.54,51.70,58,0,0,0,"City Population, www.citypopulation.de",NIMA; World Gazetteer
Svalbard,SJM,Europe,5,,,,,578,246,2,"60,543",0,,,,,,1,1990,2003,4,3,2,,,,,,Digital Chart of the World (DCW).,"1990, 1995 and 2000 population values are Norway Statistics estimates from the Population Statistics, Statistics Norway and District Governor of Svalbard, http://www.ssb.no/english/subjects/00/00/20/nos_svalbard_en/nos_d253_en/tab/t-45.html",,A population growth rate was calculated between 1995 (from Norway Stats) and 2003 (from CIA World Factbook) to extrapolate to target years. ,1,"1,100","1,100","1,100.00",N/A,,,,,,,,,,,,considered part of Norway by UN,,,,,"World Gazetteer, www.gazetteer.de",World Gazetteer
San Marino,SMR,Europe,5,666,66605,Southern Europe,SM,674,8,26,62,0,,,,,,1,1990,2003,23,25,26,23,25,27,0.00,3.69,The shapefile was taken from the Italy boundary data from Seamless Administrative Boundaries of Europe (SABE) distributed by Eurographics [http://www.eurogeographics.org/eng/03_projects_sabe.asps] (SABE 2001 date of release : February 2003).,"The 2000 total population of San Marino is estimated as 26,628 from the Web site: http://www.coe.int/T/E/Social_cohesion/Population/Demographic_Year_Book/2001
_Edition/San%20Marino%202001.asp.  
The 1995 population estimated is based on the 1991 population from Sistema Statistico Nazionale Istituto Nazionale di Statistico Annuario Statistico Italiano 1995  and 1997 population from Movimento E  Calcolo Della Popolazione Residente Secondo Le Risultanze Anagrafiche Anno 1997.
The 1990 population is estimated based on 1989 population from Eurostat and  991 population from Sistema Statistico Nazionale Istituto Nazionale di Statistico Annuario Statistico Italiano 1995.",,The rate between P03 and P95E was calculated and used for projecting to P00E to P20E.,4,"4,911","1,089","2,703.75",N/A,,,,,,,,,,,,90.40,,,,,"City Population, www.citypopulation.de",World Gazetteer
Slovakia,SVK,Europe,5,693,69305,Eastern Europe,SK,703,4,2,"48,875",3,Kraj,Okres,ZUJ,UTJ,,2919,1997,2001,"4,947","5,115","5,330","5,256","5,364","5,399",5.88,1.28,Seamless Administrative Boundaries of Europe (SABE) distributed by Eurographics: http://www.eurogeographics.org/eng/03_projects_sabe.asps (SABE 2001 date of release : February 2003).,"2001 Slovakia Census from Statistickiy Lexicon Obci Sr 2003, Perfekt,a.s., Karpatska 7, 811 05 Bratislava.",,"(1) For the following units, point coordinates were found, and their populations added to the spatial unit in which they fall: 
· Nov_ Svet
· Malá Ma_a
· Bohunice
· Bádice
· Dolné Lefantovce
· _titáre
· _itavany
(2) For two other units Hlboké nad Váhom and Potônske Lúky, populations were allocated proportionally among all ZUJ within the appropriate Okres. 
(3) The  2001 OkresMunicipality (administrative level 2) data are aggregated to spatially match 1997 Okres boundaries in order to calculate the Okres growth rates. Then Okres growth rate from 1997 to 2001 used to project 2001 UTJ level population to target years.  
(4) The 5% rate cap was applied to the following Okres: Levice, Nitra, Bytca, Liptovsky Mikulas, Namestovo, Turcianske Teplice, Zilina, Velky Krtis, Zvolen, and Sabinov.",137,"426,939","1,417","21,941.33","138 cities with 5,000 inhabitants or more.",87,432,9,78.72,"6,849","458,054","5,096","37,705.17","3,280,350",14.01,61.55,57.60,85,2,0,0,"Statistical Yearbook of Slovak Republic, Slovak Republic Statistical Office, Vladimir Cicmanec email, Feb 6, 2004",NIMA; World Gazetteer
Slovenia,SVN,Europe,5,695,69505,Southern Europe,SI,705,2,0,"20,224",3,Region,Municipality,Settlement,,,5989,1995,2002,"2,008","1,989","1,971","1,918","1,990","1,988",-4.72,0.87,Seamless Administrative Boundaries of Europe (SABE) distributed by Eurographics: http://www.eurogeographics.org/eng/03_projects_sabe.asps (SABE 2001 date of release : February 2003).,"Census 2002, Statistical Office of the Republic of Slovenia, http://www.stat.si/pxweb/Database/Census2002/Census2002.asp .  
The 1995 population was caluclated based on the Population for 1996 and 1997 from: Statistical Office of the Republic of Slovenia - Central Population Register of the Republic of Slovenia, Ministry of the Interior, Office of Immigration and Refugees.",,The  2002 Municipality (administrative level 2) data are aggregated to spatially match 1995 Municipality boundaries to calculate population growth rates. The municipal growth rates between 1995 and 2002 were computed and applied to Settlements for extrapolation to target years.  ,156,"265,615","1,211","11,825.44",Not available.,38,755,8,70.83,"2,692","464,033","5,114","32,925.53","1,251,170",13.31,63.49,49.10,36,2,0,0,"Slovenia Population Census 2002, http://www.stat.si/popis2002/en/rezultati_slovenij",NIMA; World Gazetteer
Sweden,SWE,Europe,5,744,74405,Northern Europe,SE,752,39,31,"431,704",2,County,Municipality (Kommune),,,,288,1995,2002,"8,804","8,837","8,886","8,559","8,827","8,842",-2.86,-0.50,Seamless Administrative Boundaries of Europe (SABE) distributed by Eurographics: http://www.eurogeographics.org/eng/03_projects_sabe.asps (SABE 2001 date of release : February 2003).,"Data for 1995 from: 
Statistik uden Graenser, Nordisk statistik pa cd-rom 1997 (Nordic Statistics on CD-Rom 1997). Published by the Statistics Offices of : Iceland, Danmark, Sweden, Greenland, Faroe, Finland and Norway. 
Data for 2002 from Statistics Sweden. url: Source: http://www.scb.se/statistik/be0101/be0101tab3beforandr02eng.asp
Downloaded August 2003.",,"To accomodate recen boundary divisions, the population of Nykvarn and Soedertaelje are aggregated to form one unit with the name of Soedertaelje.",574,"1,212,196","1,003","11,327.72",Built-up areas with at least 200 in_habitants and where houses are at most 200 metres from each other.,153,"2,292",14,234.48,"35,875","1,623,541","5,015","42,677.88","6,529,716",8.31,73.48,83.30,150,3,0,0,"City Population, www.citypopulation.de; StatisticsSweden, www.scb.se",Getty; Times Atlas of the World 1999; NIMA; World Gazetteer
Ukraine,UKR,Europe,5,798,79805,Eastern Europe,UA,804,31,92,"588,417",2,Oblast,Rayon,,,,623,1989,2004,"52,225","54,830","57,583","51,891","51,531","49,568",-0.64,-16.17,Australian Centre of the Asian Spatial Information and Analysis Network (ACASIAN).,"1989 Rayon population from ACASIAN.  
2004 Oblast population figures via the State Statistics Office of Ukraine, http://www.ukrstat.gov.ua/ .",,Oblast growth rate between 1996 and 2004 applied to 1989 Rayon population to extrapolate the population to target years.,102,"2,609,662","50,082","219,775.34","Cities and urban-type localities, of_ficially designated as such, usually according to criteria based on the number of inhabitants and pre_dominance of non-agricultural workers and their families.",82,"1,627",20,327.27,"26,836","2,799,830","54,321","352,446.98","28,900,652",4.56,50.19,68.00,80,0,2,0,"City Population, www.citypopulation.de; World Gazetteer, www.gazetteer.de",EUTOWN; UNSD; World Gazetteer
